gcode,ReleaseDate,ListPrice,Brand,Series Title,Character Name,Sculptor,Scale,Size,Material
FIG-MOE-3657,2012-01-01 00:00:00,4104,Daiki Kogyo,Original Character,Reira,Hiroshi Sato OVER DARD,1/12,Approx. H14.3cm,
FIG-MOE-0424-R,2008-12-01 00:00:00,14080,YAMATO,Ikkitousen (Battle Vixens),Unchou Kan-u,Toshiro Cobra-kai,1/5,Approx. H170cm,"Non-phthalate PVC, ABS. M"
FIGURE-033873,2018-02-01 00:00:00,13500,Plum,"""THE IDOLM@STER"" Series",Kaoru Ryuzaki,,1/7,Approx. H210mm,PVC
HOB-FIG-4105,2006-11-01 00:00:00,6480,Movic,Happiness!,Haruhi Kamisaka,zenko Iousen,1/8,Approx. H18cm,
FIGURE-017882,2016-06-01 00:00:00,14040,Plum,GOD EATER,Sakuya Tachibana,,1/7,Approx. H290mm,
FIG-MOE-1180,2011-09-01 00:00:00,7344,Movic,Kara no Kyokai,Azaka Kokuto,Naoki Nishimura Pilot,1/8,Approx. 20cm,
FIG-MOE-0056-R,2008-11-01 00:00:00,7124,Good Smile Company,Lineage,Human Mage,Yoshimasa Nakao ,1/8,Approx. H220mm,
FIG-MOE-1518,2010-05-01 00:00:00,8100,WAVE,,,Miki Ousaka Cherry Blossom,1/7,Approx. H210mm,
HOB-FIG-4886,2007-05-01 00:00:00,14520,Griffon Enterprises,Ikkitousen (Battle Vixens),Housen Ryofu,Ryouichi Ikeda ,1/7,,
FIG-MOE-0855A,2009-11-01 00:00:00,1130,former SEGA,Lucky Star,Kagami Hiiragi,,,Approx. 18cm,
FIGURE-032744,,38880,Griffon Enterprises,Beat Angel Escalayer,Escalayer,TEAM GENESIS ,1/4,Approx. H47cm,ABS & PVC
FIGURE-057550,2020-08-01 00:00:00,15290,WAVE,"""THE IDOLM@STER"" Series",Sachiko Koshimizu,Chizuru Tsuru-no-yakata,1/7,Approx. H21cm,PVC (Partly ABS)
HOB-FIG-4941,2007-04-01 00:00:00,6380,WAVE,ToHeart2,Manaka Komaki,Miki Ousaka ,1/7,Approx. H190mm,"PVC, ABS, Cloth, other"
FIGURE-058592,2020-10-01 00:00:00,7920,Emontoys,Arknights,Amiya,,,,
HOB-FIG-8526,2008-08-01 00:00:00,21780,Kurushima Seisakujo,Ikkitousen: Dragon Destiny,Unchou Kan-u,Keiko ,1/6,Approx. H26cm,
FIGURE-029334,2017-08-01 00:00:00,1300,Banpresto,Lupin the 3rd,Fujiko Mine,,,H14cm,
FIGURE-044418-R,2019-05-01 00:00:00,980,FuRyu,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Ram,,,Approx. 21cm,
FIGURE-019989,2016-12-01 00:00:00,3565,Good Smile Company,Uchuu Patrol Luluco,Luluco,POOLS ,,Standard: Approx. H130mm ./ Gun Mode: Approx. H80mm (non-scale),
FIGURE-052192-R,2019-09-01 00:00:00,19148,Native,Original Character,Dorakyuria Ruvi,Ryo Hashimoto ,1/7,Approx. H19.5cm,"PVC, ABS"
FIGURE-007521,2015-05-01 00:00:00,8140,,THE IDOLM@STER (THE IDOLMASTER),Miki Hoshii,Yusuke Masaki ,1/8,Approx. H130mm,
FIGURE-040140,2018-12-01 00:00:00,18150,Insight,Walkure Romanze,Celia Cumani Aintree,APE ,1/6,Approx. 216mm,ABS & PVC
FIGURE-044536-R,2018-12-01 00:00:00,680,SEGA Interactive,BanG Dream! Girls Band Party!,Kasumi Toyama,,,Approx. H21cm,
FIGURE-029920,2017-10-01 00:00:00,17064,Aquamarine,GUILTY GEAR,Jack-O',Koke ,1/7,Approx. H250mm,ABS & PVC
FIGURE-045653,2019-06-01 00:00:00,18144,Q-six,Original Character,Erika Izayoi,Nollgreco Q-six,1/5,Approx. H32cm,PVC
FIG-MOE-2800,2011-09-01 00:00:00,9350,Kaitendo,,Namida Nyorai,ELLIOTT ,1/8,,
FIG-MOE-6084,2012-06-01 00:00:00,6285,,Touhou Project,Sakuya Izayoi,Masahiro Yamamoto ,1/8,Approx. 190mm,
FIGURE-014616,2016-02-01 00:00:00,11664,Blackberry,Kanojo x Kanojo x Kanojo,Mafuyu Orifushi,BTA ,1/7,Approx. L130mm,"PVC, ABS, MDF"
FIGURE-005683,2014-08-01 00:00:00,8424,amiami,Kyo no Asuka Show,Asuka Kyono,MELTING NEURON ,1/8,Approx. H195mm,
HOB-FIG-4183,2006-11-01 00:00:00,6264,GDH,Witchblade,Masane Amaha,Heihachi Honda Heihachi Zazen,,Approx. 20cm Tall,"ATBC-PVC, ABS"
FIG-MOE-7445,2013-03-01 00:00:00,8856,,Little Busters! Ecstasy,Kudryavka Noumi(Kud),Rei Azusa Gundoll,1/7,Approx. H19cm ,PVC
FIG-MOE-2514-R,2011-09-01 00:00:00,7480,SkyTube,"""Hyakka Ryoran"" Series",Jubei Yagyu,2% ,1/7,Approx. H15cm,
HOB-FIG-2617,2005-12-01 00:00:00,5184,Toy's Works,Super Robot Wars,Lamia Loveless,Genpachi Tokaimura Mokei no Oukoku,1/8,Approx. H20cm,
FIG-MOE-0008,2009-12-01 00:00:00,9504,Kotobukiya,Dead or Alive,Kokoro,Uzou ,1/6,Approx. H180mm,
FIGURE-049062,2019-09-01 00:00:00,880,Bandai,"""Monogatari"" Series",Shinobu Oshino(Kiss-Shot Acerola-Orion Heart-Under-Blade),,,Approx. 25cm,
FIGURE-006295,2014-09-01 00:00:00,10584,,Strike Witches 2,Yoshika Miyafuji,Houjun Otoyama + DUTCH ,1/8,Approx. H260mm including weapon and base,
FIGURE-045453,2019-05-01 00:00:00,730,Banpresto,"""Sword Art Online"" Series",Asuna Yuuki(Asuna/Titania),,,22cm,
HOB-FIG-5939,2008-02-01 00:00:00,10079,OrchidSeed,Zanma Taisei Demonbane,,Itoyasu ,1/7,Al Azif Approx. 10.5cm/ Another Blood 15.5cm,
FIGURE-026445-R,2017-05-01 00:00:00,700,Taito,Kantai Collection -Kan Colle-,Amatsukaze,,,Approx. 18cm,
FIG-MOE-0591,2009-05-01 00:00:00,2260,,Fresh PreCure! (Fresh Pretty Cure!),Love Momozono(Cure Peach),,,Approx. 16cm,
FIG-MOE-5234,2012-08-01 00:00:00,8360,WAVE,YuruYuri,,Yukio Okumura the poppy puppet,1/10,Approx. H15.5mm,
HOB-FIG-9050,2008-07-01 00:00:00,1430,GSI Creos,,,,,,
HOB-FIG-4823,2007-04-01 00:00:00,4628,Movic,Jingai Makyo,Kaze no Ushiro wo Ayumumono,Satoshi Toda Principality of Kagutsuchino,1/10,Approx. H135mm,
FIGURE-048511,2019-10-01 00:00:00,18150,OrchidSeed,Original Character,Tae Kokuten,Minheru Blond Parrot,1/5,Approx. H145mm,"PVC, ABS"
FIG-MOE-0814,2009-08-01 00:00:00,7678,Chara-ani,Ikkitousen (Battle Vixens),Hakufu Sonsaku,,1/8,H190mm,"PVC, ABS"
FIGURE-036296,2018-03-01 00:00:00,21600,KingKong Studio,Seven Knights,Shane,,,,
FIGURE-060216,2021-06-01 00:00:00,33550,eStream,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Emilia,Design COCO ,1/7,"W231mm, D 222mm, H242mm",
FIG-MOE-2209,2011-03-01 00:00:00,8947,OrchidSeed,Brandish,Ziska,Minheru Blond Parrot,1/7,Approx. H16cm,
HOB-FIG-3631,2006-06-01 00:00:00,8100,Daiki Kogyo,,,Yoshinari Yamada Yamadaya,1/6,195 x 190 x 140mm,
FIG-MOE-3862,2011-12-01 00:00:00,8172,Max Factory,"""Evangelion"" Series",Asuka Langley Soryu(Asuka Langley Shikinami),Chieri Max Factory,1/6,Approx. H275mm,
FIGURE-032906,2018-06-01 00:00:00,12700,Stronger,"""THE IDOLM@STER"" Series",Mizuki Makabe,Yukiusa ,1/8,Up to Head Approx. 18cm,
HOB-FIG-0986,,5184,Kotobukiya,Comic Party,Eimi Ooba,,,,
HOB-FIG-6160,2007-10-01 00:00:00,21780,Musashiya,Martian Successor Nadesico,Ruri Hoshino,Ushio Karumagi ,1/5,33cm,
FIG-MOE-5644,2012-10-01 00:00:00,8640,,Oreimo (My Little Sister Can't Be This Cute),Kuroneko(Ruri Gokou),Katsuaki Nemoto ,1/8,H21cm,"PVC, ABS"
BOK-0570,2007-06-01 00:00:00,1836,Kadokawa Shoten,The Melancholy of Haruhi Suzumiya,Haruhi Suzumiya,,,,
FIGURE-032792,2018-01-01 00:00:00,8100,Platz,Girls und Panzer,,Occho Studio GS,1/35,,PVC
HOB-FIG-4964,2008-03-01 00:00:00,4860,Kaiyodo,,Onimusume,BOME ,,Approx. H9.5cm,"PVC, Partly ABS"
HOB-FIG-5948,2007-10-01 00:00:00,640,Banpresto,Mobile Suit Gundam SEED Destiny,,,,Approx. 17cm,
FIGURE-037026,2018-09-01 00:00:00,19580,Lechery,,,Toshi Tsutakaze ,1/6,Approx. H11cm,"PVC, ABS"
FIGURE-019278,2016-11-01 00:00:00,24800,FREEing,Original Character: Tony,Miyuki Usami,FREEing ,1/4,Approx. H350mm,
HOB-FIG-3765A,2006-10-01 00:00:00,7344,former JUN Planning,REC,Aka Onda,Takeshi Miyagawa T's system.,1/6,Approx. 250mm,"ATBC PVC, other"
HOB-FIG-4575B,2007-01-01 00:00:00,4644,Ohtsuka Kikaku,CLANNAD,Tomoyo Sakagami,Noriyasu Tsushima Fig.1,1/8,,
FIG-MOE-0842-R,2009-11-01 00:00:00,9325,COSPA,,,Hiroshi Sakura Zensen,1/6,Approx. H125mm,"PVC, Partly ABS"
FIG-IPN-0777,2010-06-01 00:00:00,770,GSI Creos,,,,,,
FIGURE-032711,2018-07-01 00:00:00,7884,Surprise Next,"""Ultraman"" Series",Agira,Surprise Next ,,Approx. L12cm,PVC (soft vinyl)
FIGURE-002778,2014-02-01 00:00:00,4860,Bandai,Infinite Stratos (IS),Cecilia Alcott,,,Approx. H160mm,"ABS, PVC"
FIGURE-002808-R,2014-03-01 00:00:00,9219,Good Smile Company,Puella Magi Madoka Magica,Madoka Kaname,Hiroshi Sakura Zensen,1/8,Approx. H190mm,
FIGURE-051795-R,2019-08-01 00:00:00,14259,Aniplex,"""Fate"" Series",Jeanne d'Arc(Ruler/Avenger/Jeanne d'Arc Alter Santa Lily),,1/7,,ABS & PVC
HOB-FIG-2461,2005-07-01 00:00:00,2750,Takara Tomy A.R.T.S,Ikkitousen (Battle Vixens),Gentoku Ryubi,,,Approx. H14cm,"PVC, ABS, other"
FIGURE-000218,2014-01-01 00:00:00,8580,,Fate/hollow ataraxia,Altria Pendragon(Saber/Saber Lily/Saber Alter),Ryo Hashimoto ,1/6,Approx. H130mm,
FIGURE-060045,2021-06-01 00:00:00,25080,Alter,Houkai Gakuen,Kiana Kaslana,sai ,1/8,Approx. H290mm (Including Weapon/ Base) / Approx. L390mm (Including Weapon),"PVC, ABS"
HOB-FIG-3839,2006-12-01 00:00:00,5028,Alter,Fate/hollow ataraxia,Caren Hortensia,Fumiki Saito ,1/8,Approx. H18cm,
FIGURE-003534,2014-07-01 00:00:00,10780,,ToHeart2,Sasara Kusugawa,Tsuyoshi Takahashi Yi qi yon hua yi bei ju,1/7,Approx. 200mm,PVC
FIGURE-019999,2016-10-01 00:00:00,1080,Taito,Kantai Collection -Kan Colle-,Agano,,,Approx. 18cm,
FIG-MOE-1065,2009-10-01 00:00:00,8580,Griffon Enterprises,Queen's Blade,Alleyne,Akio Akiyama ,1/7,,
FIG-MOE-3516,2011-12-01 00:00:00,8171,,E2,,,,7cm,ATBC-PVC
FIG-MOE-0492,2009-04-01 00:00:00,4536,WAVE,,,Eye Up ,1/10,Approx. H140mm,"PVC, Partly ABS"
FIGURE-119350-R,2020-08-01 00:00:00,13750,TOHO Stella,HELLO WORLD,Ruri Ichigyo,Shiitake ,1/8,H22mm,ABS & PVC
FIG-MOE-1899,2010-11-01 00:00:00,7480,Alter,K-On!,Tsumugi Kotobuki,Mumei ,1/8,Approx. H200mm,
FIG-MOE-0818,2009-10-01 00:00:00,8208,Tight Rope,,Ellis,Keita Watanabe Grenade,Size: Appx. 200mm Tall (1/7 Scale),,PVC/ Base: PVC
FIG-MOE-1598,2010-05-01 00:00:00,7480,Plum,Shuffle!,Asa Shigure,,1/8,Approx. H105mm including base,
FIGURE-030981,2018-04-01 00:00:00,14800,Easy Eight,"""THE IDOLM@STER"" Series",Miki Hoshii,Abira Pladzma Houriki Mokei,1/7,Approx. 22cm up to Head,
FIGURE-033525,2018-02-01 00:00:00,14580,KADOKAWA,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),Suzune Horikita,"pokkur, M.I.C. ",1/7,Approx. H210mm,PVC
FIGURE-042369,2019-01-01 00:00:00,15180,MegaHouse,Futari wa Pretty Cure (Futari wa PreCure),Honoka Yukishiro(Cure White),,,Approx. L220mm,"PVC, ABS"
FIG-MOE-1313,2010-05-01 00:00:00,8424,Alphamax,,,,,Approx. H25.5cm,
FIG-MOE-2048,2011-01-01 00:00:00,8640,OrchidSeed,Lineage,Dwarf,OSIRIS Heavy Gauge,,Approx. H21cm (non-scale),
HOB-FIG-2651B,2005-11-01 00:00:00,1980,Bandai,Mobile Suit Gundam SEED Destiny,Meyrin Hawke,,,,
HOB-FIG-4784A,2007-05-01 00:00:00,8023,Art Storm,Onegai Twins (Please Twins!),Miina Miyafuji,Studio LILICS ,1/4,,
FIG-MOE-2164,2011-09-01 00:00:00,4104,WAVE,Toaru Majutsu no Index (A Certain Magical Index),Mikoto Misaka,Hiroshi Sakura Zensen,1/10,Approx. H160mm,
HOB-FIG-3444,2007-01-01 00:00:00,4180,Kotobukiya,ToHeart2,Ruri Himeyuri,JUN E.V.,1/8,Approx. H125mm,
FIGURE-012084,2015-12-01 00:00:00,13824,Alter,Shining Hearts,Rouna Murasame,Futatsu Shito ,1/7,Approx. H260mm including base,
FIG-MOE-5219-R,2012-10-01 00:00:00,7480,Kotobukiya,Yu-Gi-Oh! Duel Monsters,Dark Magician Girl,Tsukuru Shirahige ,1/7,Approx. H180mm,
FIG-MOE-0831,2009-09-01 00:00:00,15180,Kaitendo,ToHeart2,Manaka Komaki,ELLIOTT ,1/6,Approx. H18cm,
FIGURE-051187-R,2019-08-01 00:00:00,980,Banpresto,"""Evangelion"" Series",Rei Ayanami,,,Approx. 14cm,
FIGURE-009775,2015-05-01 00:00:00,3300,Medicom Toy,Yuri Kuma Arashi,Ginko Yurishiro(Yuri),,,Approx. H70mm Each,
FIGURE-007357,2014-12-01 00:00:00,19580,Q-six,Virgin na Kankei R,Kana Akashi,Kojuro Sasaki ,1/6,Approx. H27cm,Polystone
FIG-MOE-1696,2010-07-01 00:00:00,7344,MegaHouse,Macross Frontier,Sheryl Nome,Akatsuki Alter,1/8,Approx. H210mm,
HOB-FIG-6362,2007-10-01 00:00:00,6264,Movic,Sekirei,Tsukiumi,Hiroshi Sakura Zensen,1/7,230mm,
HOB-FIG-4787B,2007-05-01 00:00:00,6458,Toy's Works,Mine bluE,,Masami Ushiro ,1/8,Approx. H21cm,"PVC, ABS"
FIG-MOE-1516,2010-04-01 00:00:00,4950,Aoshima,,,,1/12,Approx. H15cm,
HOB-FIG-1186co,2004-08-01 00:00:00,3780,YAMATO,G-taste,Mai Kannazuki,,,Approx. 100mm Tall,"PVC, ABS"
FIGURE-016846,2016-08-01 00:00:00,8424,Kotobukiya,Marvel Comics,Gwen Stacy(Spider-Gwen),Hogary Jet Stream,1/7,Approx. H222mm (including base),"PVC (non-phthalate), ABS"
FIGURE-036065-R,2018-01-01 00:00:00,16093,AMAKUNI,Kantai Collection -Kan Colle-,Libeccio(Libeccio),Hiro ,1/7,Approx. H20cm,
FIG-MOE-6480-R,2012-11-01 00:00:00,7480,Kotobukiya,Bakemonogatari,Nadeko Sengoku,KOTOBUKIYA ,1/8,Approx. H180mm,
FIGURE-017013-R,2016-02-01 00:00:00,1580,Banpresto,Kantai Collection -Kan Colle-,Yamato,,,Approx. H5cm,
HOB-FIG-3188,2007-01-01 00:00:00,8424,Kotobukiya,NINJA GAIDEN,Rachel,Hiroki Hayashi ,1/6,Approx. H275mm,
FIGURE-054396,2020-08-01 00:00:00,10780,Proovy,"""High School D x D"" Series",Rias Gremory,M.I.C ,1/10,Approx. H122mm *Ahoge is not included,"ATBC-PVC, ABS"
FIG-MOE-0757,2009-05-01 00:00:00,7678,Griffon Enterprises,Ikkitousen (Battle Vixens),Shimei Ryomou,Masahiro Yamamoto ,1/7,Approx. H21.5cm,
FIGURE-045830,2019-10-01 00:00:00,19800,Daiki Kogyo,Pink Sniper,Haruna Sakurai,Momofusa ,1/5.5,Approx. H310mm,PVC
FIGURE-048285-R,2019-10-01 00:00:00,13200,MegaHouse,"""Code Geass"" Series",C.C.,"Noritaka Fukumoto, M.I.C. Noritaka Fukumoto, M.I.C.",,Approx. H200mm,"ABS, PVC"
FIGURE-040156,2018-10-01 00:00:00,12100,MegaHouse,"""Gundam"" Series",Matilda Ajan,,1/8,Approx. H200mm,
FIGURE-006162,2014-11-01 00:00:00,9800,,Love Live!,Honoka Kosaka,"Katsuyoshi Miyajima, Ajiken ",1/8,Approx. H180mm,
FIGURE-011612,2015-08-01 00:00:00,12960,Aquamarine,Kantai Collection -Kan Colle-,Yukikaze,sai Knead,1/8,Approx. H210mm,"ABS, PVC"
FIGURE-008979,2015-02-01 00:00:00,12744,,"""Dungeon Travelers"" Series",Mefmera,Munetoshi Makio ,1/8,Approx. H220mm (including base),
FIG-MOE-1460,2010-10-01 00:00:00,8424,Milestone,,,Mamecchi ,1/8,Approx. H210mm ,ATBC-PVC/ Base: ABS
FIGURE-005393,2014-09-01 00:00:00,19250,Amie-Grand,Ikkitousen (Battle Vixens),Ekitoku Chouhi,Mega Megatech Body,1/6,Approx. H20 cm,
FIG-MOE-1066,2009-11-01 00:00:00,15180,Beat,Ikkitousen (Battle Vixens),Shiryuu Chou'un,Eiji Nakayama Tekkoryuu,1/6,Approx. H28.5cm,
FIG-MOE-0196,2013-08-01 00:00:00,9504,Alter,Xenosaga EP3,KOS-MOS(Kosmos),Futatsu Shito ,1/6,Approx. H300mm,
FIG-MOE-2163-R,2011-01-01 00:00:00,19800,cLayz,Queen's Blade Rebellion,Ymir,Takeshi Miyagawa T's system.,1/6,,
FIG-MOE-1849,2010-09-01 00:00:00,7480,Movic,K-On!,Yui Hirasawa,cigua & Soririn GILL GILL,1/8,Approx. H20cm,
HOB-FIG-5834,2007-08-01 00:00:00,5616,C-Works,Bible Black,Kurumi Imari,Tainiidou TinyKid C-Works,1/6,Approx. H160mm,
HOB-FIG-3518,2006-05-01 00:00:00,21780,Musashiya,LoveHina,Naru Narusegawa,Ushio Karumagi ,1/5,Approx. 33cm,
FIG-MOE-0813,2009-10-01 00:00:00,6994,FREEing,Kannagi,Zange-chan,FREEing ,1/8,Approx. H100mm,
HOB-FIG-6654,2008-01-01 00:00:00,7124,Good Smile Company,Shuraki,Char,Hiro ,1/8,Approx. H220mm,
FIGURE-029418,2017-11-01 00:00:00,18700,Vertex,Border Break,Fiona,Futatsu Shito ,1/7,Approx. H330mm (Tear Downer included),ABS & PVC
FIGURE-061038-R,2020-08-01 00:00:00,28600,BINDing,,,BINDing ,1/4,Approx. L36cm,"PVC, ABS"
FIGURE-022846-R,2017-03-01 00:00:00,12100,Kotobukiya,Girls und Panzer,Alice Shimada,Sho Kojima ,1/7,Approx. H210mm,"PVC (non-phthalate), ABS"
FIGURE-050594-R,2020-07-01 00:00:00,15800,Max Factory,"""VOCALOID"" Series",Kagamine Rin,Grizzry Panda ,1/7,Approx. H224mm,ABS & PVC
FIGURE-060452-R,2020-07-01 00:00:00,980,Bandai,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Ram,,,Approx. 6cm,
FIGURE-045630-R,2019-12-01 00:00:00,4620,FREEing,Nekopara,Chocola,Dragoncraft ,1/12,Approx. H135mm,PVC
FIGURE-058719,2021-04-01 00:00:00,27500,FREEing,Kaguya-sama: Love Is War,Chika Fujiwara,FREEing ,1/4,Approx. H360mm,PVC
FIG-MOE-8831,2013-10-01 00:00:00,5060,,Touhou Project,Flandre Scarlet,Tadashi Kadokawa ,,Approx. L12cm (non-scale),
FIGURE-049703,2019-07-01 00:00:00,1650,Plum,Yuru Camp (Laid-Back Camp),Rin Shima,,,H70mm (non-scale),PVC
FIG-MOE-0357A,2009-05-01 00:00:00,1130,Banpresto,Higurashi no Naku Koro ni (When They Cry),Satoko Houjo,,,Approx. H18cm,
FIGURE-119455,2021-01-01 00:00:00,16280,Lechery,,,Party Look ,1/6,Approx. H20cm,"PVC, PU, ABS"
FIGURE-049099,2020-05-01 00:00:00,21780,WANDERER,Azur Lane,Illustrious,Takeshi Miyakawa ,1/8,Approx. H215mm,
FIGURE-042102-R,2018-09-01 00:00:00,1380,SEGA Interactive,BanG Dream! Girls Band Party!,Aya Maruyama,,,Approx. H21cm,
FIGURE-037231-R,2018-02-01 00:00:00,1380,Banpresto,Monster Strike,Pandora,,,Small: Approx. 6cm / Big: Approx. 15cm,
FIG-MOE-3331,2011-11-01 00:00:00,450,Taito,Squid Girl,Squid Girl,,,Approx. 6cm,
FIGURE-046196,2019-11-01 00:00:00,15330,Stronger,Kizuna AI,Kizuna AI,"ICREA CO., LTD ",1/7,Approx. H22cm,ABS & PVC
HOB-FIG-4670B,2006-12-01 00:00:00,5280,Vice,Bakuretsu Tenshi (Burst Angel),Amy,,1/8,Approx. H200mm,
FIGURE-060505,2021-06-01 00:00:00,17380,Flare,Girls' Frontline,Type 97,,,Approx. H120mm,
FIGURE-014323-R,2015-10-01 00:00:00,780,SEGA Interactive,Love Live!,Hanayo Koizumi,,,Approx. 20cm,
FIGURE-055553,2020-08-01 00:00:00,18480,MegaHouse,"""Aikatsu!"" Series",Akari Ozora,Kazunari Kouda ,,Approx. H220mm,"PVC, ABS"
HOB-FIG-2247A,2005-05-01 00:00:00,3828,Kotobukiya,ToHeart,Kotone Himekawa,Hironori Tokunaga ,1/8,Approx. H190mm,
HOB-FIG-3633,2007-01-01 00:00:00,4104,Kaiyodo,Original Character: BOME,Jungle Emmy,BOME ,,Approx. H22cm,PVC/ Base: ABS
FIGURE-056515,2020-10-01 00:00:00,23980,Orca Toys,Eromanga Sensei,Sagiri Izumi,Yasuhiro Uchijima essence,1/6,Approx. L140mm,
FIGURE-018815,2016-10-01 00:00:00,10780,Phat Company,"""THE IDOLM@STER"" Series",Rin Shibuya,Yusuke Masaki ,1/8,Approx. H220 mm,
FIGURE-038377-R,2019-03-01 00:00:00,17112,Max Factory,"""Fate"" Series",Jeanne d'Arc(Ruler/Avenger/Jeanne d'Arc Alter Santa Lily),Nakayaman Max Factory,1/7,Approx. H240mm,ABS & PVC
FIGURE-012674,2016-01-01 00:00:00,15984,SkyTube,Walkure Romanze,Akane Ryuzoji,MOON ,1/5.5,Approx. H30cm,
FIGURE-015591,2016-04-01 00:00:00,16200,Chara-ani,Triage X,Mikoto Kiba,M@ito ,1/6,Approx. H260mm,"PVC, ABS, Iron *Non-phthalate"
FIG-MOE-04669-R,2012-04-01 00:00:00,8360,MegaHouse,Queen's Blade Rebellion,Annelotte,Norio Kibayashi ,,,
FIGURE-059077,2020-10-01 00:00:00,17380,Union Creative,Dragon's Crown,Sorceress,Supervisor (Fujinawa) ,,Main Figure Approx. H160mm,"ATBC-PVC, ABS, Polyester"
FIG-MOE-4195,2011-12-01 00:00:00,7344,Movic,Aria the Scarlet Ammo,Aria Holmes Kanzaki,Hideo Amamiya ,1/8,,
HOB-FIG-4645B,2007-02-01 00:00:00,5184,Toy's Works,Tona-Gura!,Hatsune Arisaka,,1/8,Approx. H21cm,"ATBC-PVC, ABS"
FIGURE-015151,2016-08-01 00:00:00,14904,Orca Toys,Cutie Honey (Cutey Honey),Honey Kisaragi(Cutie Honey),Takashi Fujii ,1/6,Approx. H170mm,
FIG-MOE-4751,2012-09-01 00:00:00,7700,,Touhou Project,Cirno,i-con ,1/8,Approx. 16cm,
FIGURE-000479,2013-10-01 00:00:00,18480,,Original Character: Kurushima Seisakujo,MoMo,"work-box, Keiko ",1/5.5,Approx. H23cm,
FIGURE-005661,2014-06-01 00:00:00,16500,,Hataraku Maou-sama!,Emi Yusa,,1/7,Approx. H23cm (up to head),
FIGURE-018058,2016-12-01 00:00:00,15180,Alter,Love Live! School Idol Festival,Hanayo Koizumi,Hiroshi Inagaki ,1/7,Approx. H260mm (including flag),
FIGURE-059709,2021-06-01 00:00:00,4950,FREEing,Kaguya-sama: Love Is War,Kaguya Shinomiya,FREEing ,1/12,Approx. H130mm,PVC
HOB-FIG-6265,2009-10-01 00:00:00,3599,Toy's Planning,,,,,Approx. 70-80mm,
FIGURE-042264,2019-12-01 00:00:00,20269,Good Smile Company,UTAU,Kasane Teto,SAKAKI Workshops ,1/7,Approx. H270mm,
HOB-FIG-2919,2005-12-01 00:00:00,2808,Takara Tomy A.R.T.S,Strawberry 100%,Aya Toujou,Yoshihito Satou ,,Approx. H14cm,"PVC, ABS, other"
FIGURE-034032,2018-02-01 00:00:00,1300,Banpresto,"""Love Live!"" Series",You Watanabe,,,Approx. H22cm,
FIG-MOE-3513,2011-10-01 00:00:00,8360,Griffon Enterprises,Touhou Project,Remilia Scarlet,Hiromitsu Morikawa ,,Approx. H13cm (non-scale),
FIG-MOE-2945,2011-10-01 00:00:00,9504,Moon Toys,"""Original Character: Range Murata""",Headphone Girl,Katsuaki Nemoto ,1/7,Approx. H170mm,
FIGURE-000627,2013-08-01 00:00:00,10152,Griffon Enterprises,Senran Kagura,Katsuragi,Ryouichi Ikeda ,1/8,Approx. H10.5cm,
FIGURE-006138,2014-10-01 00:00:00,8100,,Freddy vs. Jason,Jason Voorhees,Takaboku Busujima Busujimax,1/7,Approx. H240mm including base/ Approx. 230mm not including base,
FIGURE-004901-R,2014-06-01 00:00:00,980,Taito,Kantai Collection -Kan Colle-,Shimakaze,,,Approx. H15cm,
HOB-FIG-7737,2008-03-01 00:00:00,5184,Miyabiya,Bible Black,Kurumi Imari,Soudenbizen ,1/8,Approx. H15cm,
HOB-FIG-1811B,2006-05-01 00:00:00,7344,Kotobukiya,NINJA GAIDEN,Ayane,Masaru Koide ,1/6,Approx. 285mm,
HOB-FIG-2110,2005-04-01 00:00:00,4620,Vice,"""Original Character: Range Murata""",Skipper,,,,
FIG-MOE-04627-R,2011-09-01 00:00:00,9240,MegaHouse,THE IDOLM@STER (THE IDOLMASTER),Makoto Kikuchi,,1/7,Approx. H220mm,
FIGURE-027693-R,2017-11-01 00:00:00,16280,WAVE,"""Love Live!"" Series",Yoshiko Tsushima,Deira ,1/8,Approx. H19.5cm,PVC (partially ABS)
HOB-FIG-4465B,2007-01-01 00:00:00,4860,Sol International,Melty Blood,Hisui,Masaki Inada ,,Approx. 18cm,
FIGURE-024472,2017-05-01 00:00:00,12744,WAVE,"""THE IDOLM@STER"" Series",Mika Jougasaki,Chizuru Tsuru-no-yakata,1/8,Approx. H12cm,
FIG-MOE-8641,2013-10-01 00:00:00,18480,Q-six,Kisei Juui Suzune,Suzune,Clumsy Zero ,1/6,Approx. 18.5cm,Polystone (Partially PVC)
FIG-MOE-5224,2012-04-01 00:00:00,2750,,Touhou Project,Reimu Hakurei,Penguin Parade ,,Approx. H70mm (non-scale),PVC
FIGURE-032976-R,2018-05-01 00:00:00,15180,Di molto bene,"""Fate"" Series",Mordred(Saber/Rider/Saber of Red),,1/7,Approx. H203mm,PVC & ABS
FIG-MOE-9131,2013-10-01 00:00:00,8580,,Shokunyuu,Sanae Aizawa,Clumsy Zero ,1/8,Approx. 13cm,
FIGURE-045437,,7040,TOYS COMIC,The King of Fighters,Nakoruru,evildragonlee ,,H15cm,PVC + ABS
